Scene_Name,Q1,Q2,Q3,Q4
Ankylosaurus_&_Diplodocus_1,EPFL_25,EPFL_25,EPFL_25,EPFL_25
Bikes,EPFL_25,EPFL_25,EPFL_25,EPFL_25
Color_Chart_1,EPFL_25,EPFL_41,EPFL_81,EPFL_81
Danger_de_Mort,EPFL_9,EPFL_9,EPFL_25,EPFL_25
Desktop,EPFL_25,EPFL_25,EPFL_25,EPFL_41
Flowers,EPFL_9,EPFL_9,EPFL_25,EPFL_25
Fountain_&_Vincent_2,EPFL_25,EPFL_25,EPFL_25,EPFL_81
Friends_1,EPFL_25,EPFL_25,EPFL_25,EPFL_25
ISO_Chart_12,EPFL_25,EPFL_25,EPFL_41,EPFL_81
Magnets_1,EPFL_25,EPFL_25,EPFL_25,EPFL_25
Stone_Pillars_Outside,EPFL_25,EPFL_25,EPFL_25,EPFL_25
Vespa,EPFL_25,EPFL_25,EPFL_25,EPFL_25
